id,en,ja,de
vehicle.list2_3,"Once the train comes to a halt, follow the instructions of the crew.",停車後は、乗務員の指示に従いましょう。,Folgen Sie den Anweisungen des Zugpersonals wenn der Zug stehen geblieben ist.
vehicle.subtitle3,Shinkansen (Bullet Train),新幹線,Im Shinkansen (Schnellzug)
vehicle.text3,The Urgent Earthquake Detection and Alarm System (UrEDAS) stops the train in the event of an emergency. ,新幹線は早期地震検知警戒システム（ユレダス）が作動して緊急停車します。,Das Notfall Erdbeben Indentifikations- und Alarmsytem (UrEDA - Urgent Earthquake Detection and Alarm System) stoppt einen Shinkansen im Falle eines Erdbebens.
vehicle.list3_1,"The Shinkansen runs at a very high speed. If you are sitting on a seat, get down between the seats to prevent yourself being flung forward. If you are standing, keep hold of the handrail to avoid falling.",高速走行している場合が多いので、座席に座っている場合には、前に飛び出さないように座席の間に体を隠し、立っている場合には手すりをしっかり握って転倒しないようにしましょう。,"Der Shinkansen hat eine hohe Fahrtgeschwindigkeit. Wenn Sie sitzen sollten, kauern Sie sich zwischen die Sessel damit sich nach vorne geschwungen werden. Wenn Sie stehen sollten halten sie die Handgriffe gut fest."
vehicle.list3_2,"Once the train comes to a halt, follow the instructions of the crew.",停車後は、乗務員の指示に従いましょう。,Folgen Sie den Anweisungen des Personals wenn der Shinkansen stehen geblieben ist.
vehicle.subtitle4,Subway,地下鉄,In der Ubahn
vehicle.text4,"Subway trains will come to an emergency stop when a quake of intensity 5 lower is detected. If the train is between stations, it checks and proceeds to the nearest station at low speed.",震度５弱程度の揺れを観測した場合に運転を停止し、線路途中なら安全を確認し、低速で最寄りの駅に向かいます。,Die Ubahnen stoppen automatisch wenn ein Erdbeben in einer geringen Magnitude 5 Stärke auftritt.
vehicle.list4_1,The subway travels at a speed of about 40~50 km per hour. ,地下鉄の運行速度は時速40～50km程度です。,Ubahnen fahren ungefähr mit 40 bis 50 kmh.
vehicle.list4_2,"If sitting, keep low and protect your head with a bag or the like. If standing, keep hold of a handrail or strap to avoid falling over. ",座席に座っている場合には、低い姿勢をとって頭部を鞄などで保護し、立っている場合には手すりやつり革をしっかり握って転倒しないようにしましょう。,Wenn Sie sitzen sollten: halten Sie sich niedrig und schützen Sie Ihren Kopf mit einer Tasche (o.ä.). Wenn sie stehen halten sie sich an Handgriffen fest damit Sie nicht umfallen.
vehicle.list4_3,"Even if the power supply is cut off, emergency lights will remain on for about 1 hour. This gives you ample time to evacuate calmly. Be sure never to panic. ",停電になっても非常灯が1時間程度は点灯するので、慌てずに行動しましょう。,Selbst wenn der Strom ausfallen sollte bleiben die Sicherheitsleuchten etwa 1 Stunde lang aktiv. Dies sollte genug Zeit sein um den Untergrund ruhig zu verlassen. Geraten Sie nicht in Panik.
vehicle.list4_4,Some subway lines have high-voltage electric wires laid at the sides of the rails. This makes it extremely dangerous to jump onto the tracks. Never attempt to do so without asking. ,地下鉄によっては高圧電線が線路脇に設置されているので、勝手に線路に飛び降りると大変危険です。,Bei einigen Ubahnen sind Hochspannungsleitungen an der Seite von den Schienen angebracht. Dies macht es sehr gefährlich einfach auf die Gleise zu springen. Halten Sie auf jeden Fall rücksprache mit dem Zugpersonal.
vehicle.list4_5,"Once the train comes to a halt, follow the instructions of the crew.",停車後は、乗務員の指示に従いましょう。,"Sobald der Zug zum steht, folgen Sie den Anweisungen des Zugpersonals."
vehicle.subtitle5,Bus,バス,Im Bus
vehicle.text5,The bus driver may brake suddenly. Stay low and hold of a handrail or strap to avoid injury.,急ブレーキが踏まれる場合もあります。ケガをしないように姿勢を低くしたり、手すりやつり革をしっかり握りましょう。,Der Busfahrer könnte plötzlich auf die Bremse treten. Halten Sie sich nieder und greifen sie einen Griff um Verletzungen zu vermeiden.
vehicle.list5_1,"If the driver feels a strong quake, he will try to slow down gradually without making a sudden stop. If necessary to avoid danger, however, the driver may be forced to brake suddenly. ",強い揺れを感じた場合に、危険を回避するために急ブレーキが踏まれることもあります。,Wenn der Fahrer ein starkes Beben fühlen sollte wird er versuchen möglichst langsam zu bremsen. Unter Umständen könnte er jedoch gezwungen sein abrupt zu bremsen.
vehicle.list5_2,"If sitting, keep low and protect your head with a bag or the like. If standing, keep hold of a handrail or strap to avoid falling over.",座席に座っている場合には、低い姿勢をとって頭部を鞄などで保護し、立っている場合には手すりやつり革をしっかり握って転倒しないようにしましょう。,Wenn Sie sitzen sollten: halten Sie sich niedrig und schützen Sie Ihren Kopf mit einer Tasche (o.ä.). Wenn sie stehen halten sie sich an Handgriffen fest damit Sie nicht umfallen.
vehicle.list5_3,"Once the bus comes to a halt, follow the instructions of the driver.",停車後は、乗務員の指示に従いましょう。,"Sobald der Bus zum steht, folgen Sie den Anweisungen des Busfahrers."
after.subtitle1,Securing your own safety,身の安全の確保,Selbstschutz
after.text1,Check around you first. Secure your own safety.,まずは周囲を確認。身の安全を確保しましょう。,Kümmern Sie sich zuerst um die unmittelbare Umgebung. Stellen Sie Ihre eigene Sicherheit zuerst fest.
after.list1_1,"If you act in a panic, you may be injured by toppling furniture or scattered glass.",あわてて行動すると、転倒した家具類、飛び散ったガラスの破片等でケガをする恐れがあります。,Sie könnten sich an Glas oder fallenden Möbeln verletzen wenn sie übereilt handeln.
after.list1_2,"When the tremors weaken or stop completely, open a window or door to secure your exit.",小さな揺れの時、又は揺れがおさまった後に、窓や戸を開け、出口を確保しましょう。,Sobald das Beben sich komplett gelegt hat öffnen Sie Tür oder Fenster um den Ausgang sicherzustellen.
after.subtitle2,Planning your evacuation wisely,避難の判断,Vorbereitung der Evakuierung
after.text2,"Judge wisely, based on accurate information! Your life may depend on it.",正しい情報に基づいた判断を！　それがあなたの運命を左右します。,Handeln Sie auf Basis von korrekten Informationen! Ihr Leben könnte davon abhängen.
after.list2_1,"False information tends to circulate after a disaster strikes. Try to get your information from TV, the radio, or public offices. Don't be misled by rumors. ",災害が発生したときにはデマが飛び交いがち。噂に惑わされず、テレビ、ラジオ、役場等からの情報に注意し、正しい状況の把握に努めましょう。,"Falschinformation tendiert nach einem Beben zu kursieren. Beziehen Sie ihre information vom Fernseher, Radio oder von öffentlicher Stelle. Trauen Sie keinen Gerüchten."
after.list2_2,"When a public office gives any instruction or advice, follow it.",役場から避難の指示・勧告等が出たら、それに従いましょう。,"Sollte eine öffentliche Stelle Anweisungen geben, folgen Sie diesen."
after.list2_3,"In some cases no instructions or advice will be given. If you have no information but feel danger, evacuate immediately! ",役場からの指示・勧告等がなくても、身の周辺に危険が迫っていると判断した場合は、ためらうことなく避難しましょう！,"Wenn Sie sich in Gefahr fühlen und es sollte keine Anweisung oder Empfehlung gegeben sein, evakuieren Sie sofort."
after.list2_4,Fire stations and police stations will probably be fully occupied with first aid and rescue activities. Don't call them to ask about the state of a disaster. This will only disturb their activities. ,消防署、警察等は救急・救助活動等に追われていることが予想されます。災害状況の問い合わせ等はこれらの活動に支障をきたすのでやめましょう。,Feuerwehr und Polizei wird mit ziehmlicher Sicherheit vollständig mit erster Hilfe und Rettungsmassnahmen beschäftigt sein. Verwenden Sie deswegen Polizei und Feuerwehr nicht als Auskunftstelle. Unnötige Anfragen stören die Arbeit dieser Dienste.
after.list2_5,Too many calls placed just after an earthquake will overwhelm the telephone system. Try to use telephones as little as possible.,地震時に多くの人が電話をかけると、電話がつながりにくい状況になりますので、電話や携帯電話の使用は控えましょう。,Zu viele Anrufe nach einem Beben überlasten das Telefonsystem. Verwenden Sie das Telefon so selten wie möglich.
after.subtitle3,Actions to take when evacuating　・When leaving your house,避難の行動　・家を出るとき,Im Falle einer Evakuierung・Wenn Sie das Haus verlassen
after.text3,Check the house around you when evacuating. Unforeseeable accidents can strike. ,避難するときも周囲を確認。思わぬ事故に遭う恐れがあります。,Vor Sie das Haus verlassen: Prüfen sie dass die Wege frei sind und keine Gefahren im Weg sind.
after.list3_1,Check carefully around you when leaving. There may be falling glass or signboards.,外に出るときも周囲の確認を。ガラスや看板等が落ちてくる可能性があります。,Es könnten Glas oder Anzeigetafeln herunterfallen. Stellen Sie sicher dass Ihnen nichts auf den Kopf fällt.
after.list3_2,Turn off the power breaker and close the main gas valve before leaving the house.,避難する時には、電気のブレーカーを切り、ガスの元栓を閉めましょう。,Schalten Sie den Hauptschalter des Stroms ab und schliessen Sie die Gasleitung.
after.list3_3,"After checking the safety of your own house, call on the neighbors to check up on them. ",我が家の安全を確認後、近所にも声をかけて安否を確認しましょう。,"Nach dem Sie das eigene Haus sichergestellt haben, schauen Sie nach Ihren Nachbarn."
after.subtitle4,Actions to take when evacuating　・When a fire breaks out,避難の行動　・火災に遭遇した場合,Im Falle einer Evakuierung・Wenn ein Feuer ausbricht
after.text4,The smoke from fires often kills. Act calmly when leaving the scene of the fire.,火災では煙が死亡要因の多くを占めています。冷静な避難行動をとりましょう。,Am gefährlichsten ist der Rauch bei einem Feuer. Handeln Sie ruhig wenn Sie das Haus verlassen.
after.list4_1,Always be prepared for fires. Confirm that your evacuation route is open and usable every day.,日頃から火災が発生した場合に備えて避難ルートを確認しておきましょう。,Seien Sie stehts auf der Hut vor Feuern. Stellen Sie sicher das die Notausgangsrouten zu jeder Zeit frei stehen.
after.list4_2,"When you hear a fire alarm, try to find out what's going on and take prompt action.",火災報知設備の警報を聞いたときは、状況を確認するとともに、速やかな行動を心がけましょう。,"Wenn Sie einen Feueralarm hören, versuchen die Ursache festzustellen und handeln Sie sofort."
after.list4_3,"If a room or corridor fills with smoke, cover your mouth and nose with a handkerchief or towel to avoid inhaling smoke, and evacuate. Try to keep low as you move (smoke rises).",煙が部屋や廊下に充満してきた場合は、ハンカチやタオルなどで口・鼻をしっかり覆い、煙を吸わないよう姿勢を低くして避難しましょう。,"Wenn Sie in einem Korridor sein sollten der mit Rauch gefüllt ist, schützen Sie Mund und Nase mit einem Tuch und bleiben Sie in Bodennähe da der Rauch aufsteigt."
after.subtitle5,Actions to take when evacuating　・Evacuation method,避難の行動　・避難方法,Im Falle einer Evakuierung・Evakuierungsmöglichkeiten
after.text5,"If you use a car for evacuation, it may cause chaos.",避難するときに車を使うと混乱を来す場合があります。,Ein Auto kann bei der Evakuierung zu Chaos führen.
after.list5_1,"Evacuate on foot, if possible. If you use a car, you may cause traffic jams and hamper firefighting and rescue activities.",避難する時は原則として徒歩で避難しましょう。車を使うと渋滞を引き起こし、消防・救急活動などに支障を来します。,"Wenn möglich, evakuieren Sie zu Fuss. Mit einem Auto zu evakuieren könnte zu Staus führen und Rettungskräfte bei der Arbeit behindern."
after.list5_2,The roads you usually take by foot may be congested and hard to negotiate. Carry your belongings on your back whenever possible to help you walk easily. Wear comfortable clothes in which you can move freely.,普段歩いている道も混乱して、歩きにくくなっている恐れがあります。携帯品は歩きやすいよう背負える範囲のものにとどめ、服装は活動しやすいものにしましょう。,Die Strassen die sie gewöhnlicherweise zu Fuss verwenden könnten mit Hindernissen versäht sein. Tragen Sie ihre Sachen wenn es geht am Rücken und tragen Sie Kleidung in der Sie sich frei bewegen können.
after.list5_3,"The elementary or junior high school near you is designated as an evacuation area. If further risk is anticipated, you need to evacuate to a wide-area evacuation site. Find out the nearest evacuation areas and wide-area evacuation sites near your home and workplace.",最寄の小・中学校などが避難所に指定されています。また、さらに危険性がある場合は広域避難場所に避難する必要がありますので、身の回りの避難所や広域避難場所を日ごろからチェックしておきましょう。,"Nahe gelegene Grund- oder Mittlere Schulen sind dezidierte  Evakuierungszentren. Sollte weiteres Risiko bestehen, sollten Sie sich zu einer weitläufigen Evakuierungsanlage begeben. Informieren Sie sich über Evakuierungszentren in der Nähe von Ihrem Arbeitsplatz und ihrer Wohnung."
after.subtitle6,If you have difficulty returning home　・Wise judgment when planning your trip home,帰宅困難者　・帰宅の判断,Schwierigkeiten auf dem Nachhauseweg・Handlungsratschläge für den Weg nach Hause
after.text6,"If you stubbornly decide to return home over a long distance, your decision may lead to secondary disasters in some cases. Try not to move around without good reason.",遠距離を無理に帰宅しようとすると、却って二次災害を引き起こす恐れもあります。 むやみに移動しないようにしましょう。,Der engstirnige Entschluss sich auf einen weiten Nachhauseweg zu begeben könnte schwere Konsequenzen mit sich bringen. Bewegen Sie sich nicht ohne guten Grund.
after.list6_1,"Chaos and disorder will probably hamper firefighting and other emergency activities. The available roads may be congested or cut off, and people may clamor into the stations. ",通行できる道路が限られ、また駅などには人が押し寄せてパニックが発生する恐れがあり、消防活動などに支障を生じる恐れもあります。,Chaos und Unordungung wird vermutlich die Feuerbekämpfung und andere Rettungsmassnahmen beieinflussen.Die verfügbaren Strassen könnten Verstopft oder abgeschnitten sein. Menschenmassen könnten sich an Bahnstationen ansammeln.
after.list6_2,"If you are concerned about the safety of your family, try to contact them on a public phone or use NTT's Disaster Message Dial (dial #171) or the disaster message board of your mobile phone service. Once you have confirmed their safety, forcible evacuation is not necessary.",家族の安否が心配な場合は、公衆電話、NTTの災害伝言ダイヤル171、携帯電話の災害伝言板で家族と連絡をとり、安全が確認できたら、無理に避難する必要はありません。,Sollten Sie sich um die Sicherheit ihrer Familien sorgen ist es am Besten wenn Sie versuchen über die Notruf Hotline #171 oder die Disaster mit Ihrer Familie in Kontakt zu treten.Sobald sie die Gesundheit der Familie sichergestellt ist. 
after.list6_3,Try not to think only about going home. Also think about participating in the rescue activities where you are now.,帰宅することだけを考えるのではなく、状況に応じて、自分がいる地域の救援活動に参加することも考えましょう。,Versuchen Sie nicht an das Nach-Hause-Gehen zu denken. Denken Sie daran dass auch an Ort und Stelle ihre Hilfe gebraucht wird.
after.subtitle7,If you have difficulty returning home　・Getting home,帰宅困難者　・帰宅方法,Schwierigkeiten auf dem Nachhause Weg・Der Heimweg
after.text7,"When an earthquake strikes, you may not be able to use the roads that you usually use. Try to walk the route you might take when a disaster strikes. Check the state of the road.",地震が起きると普段通っている道路も通行困難になります。普段から自分で帰宅ルートを歩くなどして、道路の状況を確認しておきましょう。,Im Falle eines Erdbebens könnten Strassen die Sie gewöhnlicherweise verwenden gesperrt oder unbrauchbar sein. Denken Sie bei der Routenplanung and die Strassenlage und prüfen Sie die Situation der Strasse.
after.list7_1,"Plan out a good route home, in case you have to return home on foot. Try to avoid routes that may be blocked or where chaos is likely to break out.",徒歩で帰宅する場合に備えて、普段から帰宅ルートを確認しておきましょう。災害時に通行止めになったり、混乱が発生する恐れが高いルートは出来るだけ避けましょう。,Planen Sie Ihre Route nach Hause sorgfältig wenn sie zu Fuss gehen müssen. Vermeiden Sie Routen die leicht blockiert sein könnten oder an denen sich Chaospunkte befinden könten.
after.list7_2,"It's dangerous to walk at night because it's difficult to see where you are going. Think carefully about the time of day when planning your return, especially if your house is far away. ",夜は特に足下が見えにくく危険です。特に自宅まで遠距離の人は時間帯もよく考えて行動しましょう。,"Eine Nachtwanderung ist gefährlich da es schwieriger ist zu sehen wohin Sie treten. Überlegen Sie sich gut zu welcher Tageszeit Sie wandern, speziell wenn Ihr Zuhause weit weg liegt."
after.list7_3,"School buildings, public facilities, convenience stores, and gas stations are being increasingly used as support facilities for people who have difficulty getting home. Many will provide information when a disaster occurs. Check those facilities as well.",災害時には、情報提供などを行う帰宅困難者支援施設として、学校や公共施設、コンビニエンスストア、ガソリンスタンドなどが指定されるケースが増えてきています。これらの施設も併せて確認しておきましょう。,"Schulgebäude, Öffentliche Einrichtungen, Convenience Stores und Tankstellen werden zunehmend als Hilfseinrichtungen für Menschen verwendet die Probleme haben nach Hause zu kommen. Viele Einrichtungen haben diesbezüglich Informationen die Sie in Anspruch nehmen können."
after.subtitle8,Rescue・First aid　・Putting out fires just after they break out,救出・救護　・初期消火,Erste Hilfe・Feuerbekämpfung direkt nach dem Ausbruch
after.text8,"When a strong tremor strikes, secure your safety first and then put out the fire.",強い揺れではまず身の安全を確保してから火を消しましょう。,"Wenn ein starkes Beben auftreten sollte, stellen Sie ihre eigene Sicherheit zuerst fest und löschen Sie dann das Feuer."
after.list8_1,"The first thing to do when a tremor strikes is to get under a desk or the like to protect yourself. If anything catches on fire, try to kill the flames after the tremors stop.",大きな揺れの時は、一度机の下などに身を伏せ、揺れが収まるのを待ってから火を消しましょう。,Bringen sie sich zuerst unter einem Tisch (o.ä) in Sicherheit. Sollte etwas Feuer fangen versuchen Sie nach dem Beben zu löschen.
after.list8_2,"If a fire breaks out, call out loudly for help while trying to put the fire out with a nearby fire extinguisher.",火災になった場合は、周りの人に大きな声で助けを求めるとともに、手近にある消火器などで初期消火をしましょう。,"Sollte ein Feuer ausbrechen, rufen Sie laut nach Hilfe und versuchen Sie das Feuer mit einem naheliegenden Feuerlöscher zu bekämpfen."
after.list8_3,"If you can't extinguish the fire early enough and the fire spreads to the ceiling, secure your own safety and the safety of others in the house, then call the fire department. ",もし初期消火ができず天井まで火が広がってしまったら、自分や他の住人の安全を確保するとともに、消防隊や消防団へ助けを求めてください。,"Wenn Sie das Feuer nicht löschen können, bringen Sie sich selbst und die weiteren Hauseinwohner in Sicherheit. Rufen Sie danach die Feuerwehr."
after.list8_4,"When waiting for the arrival of the fire department, check that the neighbors have evacuated (especially people who need help, such as children or the elderly). Work with neighbors and community disaster-relief organizations to prevent the spread of fire by arranging bucket relays, etc.",消防隊が到着するまで、近所の人たちや自主防災組織の人などと協力して、近隣の住民（特に子供や高齢者などの要援護者）の避難を確認し、バケツリレーなど火災の延焼阻止を試みましょう。,"Während sie auf die Feuerwehr warten, stellen Sie sicher Ihre Nachbarn auch das Haus evakuiert haben (Speziell Menschen die Hilfe benötigen wie Kinder oder Eltern). Arbeiten Sie mit Nachbarn und Communitygruppen zusammen um das Feuer zu löschen, mit Eimerketten beispielsweise."
after.subtitle9,Rescue・First aid　・Evacuation method,救出・救護　・救出活動・救護活動,Erste Hilfe・Evakuierungsmöglichkeitne
after.text9,Cooperation with others nearby is especially important when the fire department can't reach the scene or carry out rescue activities. ,消防による救出活動が困難な場合には、住民たちの協力が必要です。,Zusammenarbeit mit Anderen in Ihrer Nachbarschaft ist besonders wichtig wenn die Rettungskräfte nicht zu Ihnen kommen können oder mit anderen Rettungsaufgaben beschäftigt sind.
after.list9_1,"Larger disasters injure more people and block off more roads. In some cases, the fire department and other emergency services may not be able to reach a disaster scene in time. When that happens, it's crucial to help those around you by providing first aid for minor injuries.",災害が大きくなると、負傷者が多くなり、また道路が通行困難となっているために消防署などによる救出活動が間に合わない場合があります。軽いケガなどの処置は、みんながお互いに協力し合って応急救護をしましょう。,Grössere Beben können viele Verletzungen verursachen und mehrere Strassen blockieren. In solchen Fällen kann es sein das die Rettungskräfte nicht rechtzeitig im Notfallort eintreffen können.
after.list9_2,"If people are buried in collapsed houses or under fallen objects, check whether they are conscious and encourage them to hang on. Rescue activities are often dangerous. The best way to carry them out is in groups, working in cooperation.",建物の倒壊や落下物などの下敷きになった人がいたら、意識があるかどうかを確認し、励ましましょう。救出活動には危険が伴う場合があります。できるだけ複数で協力して行いましょう。,"Wenn Menschen in zusammengefallenen Gebäuden oder unter Gegenständen begraben sein sollten, versuchen Sie festzustellen ob es diese ansprechbar sind und sprechen Sie der Person Mut zu. Die Rettung in diesen Situationen ist oft gefährlich. Am besten funktioniert es im Team zu arbeiten."
documents.list1_1,TOKYO BOSAI Kindle ver.,東京防災 Kindle版,TOKYO BOSAI Kindle ver.
